name,country,contact_person,email,Products,Division
METALLFOX,,Natalia Erkina,n.erkina@metallfox.ru,,
QUARRO;MINECRAFT MINERALS,INDIA,Mr. Aakash Kavadia,aakash@quarro.in,"KAOLIN, FELDSPAR",CERAMIC
MIR MINES AND MINERALS,,Mutee ur Rehman;,mutee@mirminerals.com,,
PACIFIC EXIM PVT LTD KARACHI ,,Arsalan Wasi ,arsalan.wasi@pacificexim.com,,
PAN GLOBAL TRADING LLC ,,MR ANIL KAPUR ,ak@panglobaltrading.com,,
PRIME RESOURCES TRADING CO.; LIMITED,,Mr. Ren; Ms. YU Jing,rxm@sinominmetals.com.cn; smmaster@sinominmetals.com.cn,"WFA,BFA,DBM,FM,SIC,SPINEL,FMCR,CCM,GRAPHITE FLAKE,SIC,BAUXITE,MULLITE,FUSED SILICA,CEMENT,CALCINED ALUMINA",REFRACTORY RAW MATERIALS
QTINITY,,Humair Qureshi,humairqureshi@qtinity.com,,
REALHI TRADE CO. LTD,,Ms. Jane,manager@dlrenheng.com,"FM,DBM,CCM",REFRACTORY RAW MATERIALS
REFMIN INTERNATIONAL CO; LTD,,Mr. Ivan; Jack; ,ivan@refmin.com.cn; jack@refmin.com.cn,"WFA,BFA,DBM,FM,SIC,SPINEL,FMCR,CCM,GRAPHITE FLAKE,SIC,BAUXITE,MULLITE,FUSED SILICA,CEMENT,CALCINED ALUMINA,TABULAR ALUMINA",REFRACTORY RAW MATERIALS
RIMA INDUSTRIAL S;A,,Jonas Ribeiro Faria,jrf@rima.com.br,,
ROHIT FERRO TECH ,,Mr Ankit  Patni,ankit.patni@rohitferrotech.com,,
SHIVOM IRON AND STEEL ,,Mr Ganesh Mukherjee, shivamiron.exim@gmail.com,,
SINO MINMETALS CO.;LTD,,Mr. Ren; Ms. YU Jing,rxm@sinominmetals.com.cn; smmaster@sinominmetals.com.cn,"WFA,BFA,DBM,FM,SIC,SPINEL,FMCR,CCM,GRAPHITE FLAKE,SIC,BAUXITE,MULLITE,FUSED SILICA,CEMENT,CALCINED ALUMINA,TABULAR ALUMINA",REFRACTORY RAW MATERIALS
SURVIEW PVT. LTD. (RAHIMTOOLA GROUP OF COMPANIES),,Abbas Rahitoola ,abbas@rahimtoolagroup.com,,
SYNDICATE MINERAL EXPORT COMPANY,,Aziz Kanani, aziz.kanani@hashwanigroup.com,,
WESTBROOK RESOURCES LTD,,Andy Sharp,asharp@wbrl.co.uk,,
XIAMEN FD IMP & EXP CO.; LTD,,Ms Summer ,export1@xiamenfd.com,,
XIAMEN ITG GROUP CORP.; LTD.,,Ms Cindy ,liuwx@itg.com.cn ,,
XILOLITE; BRAZIL,,Marco Aurélio Lobo da Luz,marco.luz@xilolite.com.br,,
HTR Henan Hongtai Kiln Refractory Co. LTD,China,Rita Li & Ashwini Pandey,,Insulation Bricks,REFRACTORY PRODUCTS
"Yingkou Shunan New Material Technology Co., LTD",China,Rita Li & Ashwini Pandey,,MAG CARBON BRICKS,REFRACTORY PRODUCTS
LIAONING ZHONGMEI GROUP,China,Rita Li & Ashwini Pandey,,Mag-Chrome and Dolomite bricks,REFRACTORY PRODUCTS
Jiangsu Chianaref Refractory Co. Ltd,China,"Hisense Hu , Murphy Zhang","hisense.hu@chianaref.com , murphy.zhang@chianaref.com",TUNDISH COVER,REFRACTORY PRODUCTS
"Liaoning Guomei Refractory Co., Ltd.",China,Rita Li & Ashwini Pandey,,Magnesia Bricks,REFRACTORY PRODUCTS
"Lu'an Greenergy Refractory and Insulation Material Co.,Ltd",China,Tom King,"sales_refractory@greenergyrefractories.com , info@greenergyrefractories.com",Insulation Bricks,REFRACTORY PRODUCTS
"Yingkou Jiamei Refractories Co.,Ltd.",China,Rita Li & Ashwini Pandey,,Mag Chrome bricks,REFRACTORY PRODUCTS
DB GROUP EXPORTS,INDIA,Mr Swapnil,exports@groupdb.co,FELDSPAR,CERAMIC
SHANDONG BP NEW MATERIAL TECHNOLOGY,CHINA,Mr. Soong,songjtao@sdhx.com,ALUMINA BALLS,CERAMIC
HENAN E-GRIND ABRASIVES CO.LTD,CHINA,Ms. Lance,lance@e-grindabrasives.com,GRINDING DISC,CERAMIC
LISBETH  MINERALS,INDONESIA,Mr. Marchelle,lisbeth.office@gmail.com,ZIRCON SAND,CERAMIC
MINERAL PREMIER KALIMANTAN,INDONESIA,Djoni,Djoni@minerkal.com,ZIRCON SAND,CERAMIC
QUINGDAO ZHONGYOUBANG NEW MATERIAL TECHNOLOGY,CHINA,Cindy,qd_zyb126.com,RUTILE SAND,CERAMIC
DORAL,AUSTRALIA,Gerry Daly,gerry.daly@doral.com.au,ZIRCON SAND,CERAMIC
SAKTHI ARIMA MINERALS,UAE,Mr. Sakthi,salesdesk@arimaminerals.com,ZIRCON SAND,CERAMIC
Sharad Group,India,Mr. Harsh Thakker,harsh@thesharadgroup.com,Kaolin,CERAMIC
VLG Micron,India,Mr. Venus Gajara,vvvg@lgmicrons.com,kaolin,CERAMIC
