name,country,contact_person,email
"XILOLITE, BRAZIL",,Marco Aurélio Lobo da Luz,marco.luz@xilolite.com.br
"BETTERLY INDUSTRIAL CO., LTD.",,Mr. Shuguang QU/ Ms. Erica,zzqufeng@hotmail.com
Fupeng International Group Ltd.,,Ms. Hellen Du,hellen@fupengmgo.com
REALHI TRADE CO. LTD,,Ms. Jane,manager@dlrenheng.com
"LIANYUNGANG EAST SUN INTERNATIONAL TRADE CO.,LTD",,Mr. Zhang Rongbin,chinagraphite@vip.163.com
GANSU JINSHI CHEMICAL INDUSTRIAL CO.LTD,,Mr. Robert,chromechem@hotmail.com
CORONA ,,Esteban Barrientos Villegas - Direct Materials Corporate Negotiator,ebarrientosv@corona.com.co
"MAGNESITA MINERACAO S.A., BRAZIL",,Maria Paula Guimarães Rezende/  Eber Almeida /  Alvaro lopes,Maria.Rezende@rhimagnesita.com; Eber.Almeida@rhimagnesita.com; Alvaro.Lopes@RHIMagnesita.com
ERYAS OLIVINE MADENCILIK VE DIS TIC.LTD. STI.,,Mr.Murat YAKUT-Foreign Trade Manager,muratyakut@eryas.com; berkanipek@eryas.com
"IBAR NORDESTE LTDA., BRAZIL",,Erica Almeida /  Emilio Lobato, ibarcomex@ibar.com.br ; erica@ibarnordeste.com.br; emilio.lobato@ibarnordeste.com.br
PAN GLOBAL TRADING LLC ,,MR ANIL KAPUR ,ak@panglobaltrading.com
AL JOOD NATURAL RESOURCES LLC,,Mohammed Rizwan,rizwan@aljood.om
Pacific Exim Pvt Ltd Karachi ,,Arsalan Wasi ,arsalan.wasi@pacificexim.com
Mir Mines and Minerals,,"Mutee ur Rehman,",mutee@mirminerals.com
Syndicate Mineral Export Company,,Aziz Kanani, aziz.kanani@hashwanigroup.com
QTINITY,,Humair Qureshi,humairqureshi@qtinity.com
Surview Pvt. Ltd. (Rahimtoola Group of Companies),,Abbas Rahitoola ,abbas@rahimtoolagroup.com
Kamran Commercials pvt ltd ,,Anis Gul ,kamran_commercials@hotmail.com
Kibar Group ,,Mehmet Karakas ,mehmet.karakas@kibardisticaret.com
Metal Market ,,Mehmet Delen ,mehmet@metalmarket.com.tr
Cubyira Commodities Partners,,Ishan Bhaskar ,ishanbhaskar@gmail.com
Alchemy Heavy Metal,,,
BBC Mines,,,
Anil Minerals,,,
QUARRO/MINECRAFT MINERALS,,,
Floorex Tiles,,,
Master Minerals,,,
Rohit Ferro Tech ,,Mr Ankit  Patni,ankit.patni@rohitferrotech.com
Jai Balaji Industries Ltd,,Mr Tahmeed ,tahmeed@jaibalajigroup.com
GSA sh.p.k,,ELTON BEQI ,elton.beqi@gsa.al
Maithan Alloys Ltd,,Mr Bhaskar Behera ,office@maithanalloys.com
"Hira Power and Steels Ltd , India ",,Mr Vikas AGARWAL,export@hpslindia.com
Abhijeet Ferro Tech Limited ,,Anil Nair ,anil.nair@abhijeet.in
Shivom Iron and Steel ,,Mr Ganesh Mukherjee, shivamiron.exim@gmail.com
D S ALLOYD ,,MR GOPAL,gopal@dsalloys.com
"GANSU RICH MINMETALS CO.,LTD",,Ms wang ,gansurich@hotmail.com
Rima Industrial S/A,,Jonas Ribeiro Faria,jrf@rima.com.br
"Lanzhou Sunrising Ferroalloy Co.,Ltd ",,Mr Deer Lu / Ms Lilian,  sales@westfesi.com
JINLI GROUP ,,Mr Bajoe,info@chinacoredwire.com
"Xiamen ITG Group Corp., Ltd.",,Ms Cindy ,liuwx@itg.com.cn 
"Xiamen FD Imp & Exp CO., LTD",,Ms Summer ,export1@xiamenfd.com
ICI SUISEE ,,Eugene Simonovskiy,e.simonovskiy@ici-suisse.com
