name,country,contact_person,email,products,division
MASTER MINERALS,,,,,
METAL MARKET ,,Mehmet Delen ,mehmet@metalmarket.com.tr,,
BBC MINES,INDIA,Mr. Chrnaram,bbcminessindawar@gmail.com,"BALL CLAY, KAOLIN",CERAMIC
METALLFOX,,Natalia Erkina,n.erkina@metallfox.ru,,
QUARRO;MINECRAFT MINERALS,INDIA,Mr. Aakash Kavadia,aakash@quarro.in,"KAOLIN, FELDSPAR",CERAMIC
MIR MINES AND MINERALS,,Mutee ur Rehman;,mutee@mirminerals.com,,
PACIFIC EXIM PVT LTD KARACHI ,,Arsalan Wasi ,arsalan.wasi@pacificexim.com,,
PAN GLOBAL TRADING LLC ,,MR ANIL KAPUR ,ak@panglobaltrading.com,,
PRIME RESOURCES TRADING CO.; LIMITED,,Mr. Ren; Ms. YU Jing,rxm@sinominmetals.com.cn; smmaster@sinominmetals.com.cn,"WFA,BFA,DBM,FM,SIC,SPINEL,FMCR,CCM,GRAPHITE FLAKE,SIC,BAUXITE,MULLITE,FUSED SILICA,CEMENT,CALCINED ALUMINA",REFRACTORY RAW MATERIALS
QTINITY,,Humair Qureshi,humairqureshi@qtinity.com,,
REALHI TRADE CO. LTD,,Ms. Jane,manager@dlrenheng.com,"FM,DBM,CCM",REFRACTORY RAW MATERIALS
REFMIN INTERNATIONAL CO; LTD,,Mr. Ivan; Jack; ,ivan@refmin.com.cn; jack@refmin.com.cn,"WFA,BFA,DBM,FM,SIC,SPINEL,FMCR,CCM,GRAPHITE FLAKE,SIC,BAUXITE,MULLITE,FUSED SILICA,CEMENT,CALCINED ALUMINA,TABULAR ALUMINA",REFRACTORY RAW MATERIALS
RIMA INDUSTRIAL S;A,,Jonas Ribeiro Faria,jrf@rima.com.br,,
ROHIT FERRO TECH ,,Mr Ankit  Patni,ankit.patni@rohitferrotech.com,,
SHIVOM IRON AND STEEL ,,Mr Ganesh Mukherjee, shivamiron.exim@gmail.com,,
SINO MINMETALS CO.;LTD,,Mr. Ren; Ms. YU Jing,rxm@sinominmetals.com.cn; smmaster@sinominmetals.com.cn,"WFA,BFA,DBM,FM,SIC,SPINEL,FMCR,CCM,GRAPHITE FLAKE,SIC,BAUXITE,MULLITE,FUSED SILICA,CEMENT,CALCINED ALUMINA,TABULAR ALUMINA",REFRACTORY RAW MATERIALS
SURVIEW PVT. LTD. (RAHIMTOOLA GROUP OF COMPANIES),,Abbas Rahitoola ,abbas@rahimtoolagroup.com,,
SYNDICATE MINERAL EXPORT COMPANY,,Aziz Kanani, aziz.kanani@hashwanigroup.com,,
WESTBROOK RESOURCES LTD,,Andy Sharp,asharp@wbrl.co.uk,,
XIAMEN FD IMP & EXP CO.; LTD,,Ms Summer ,export1@xiamenfd.com,,
XIAMEN ITG GROUP CORP.; LTD.,,Ms Cindy ,liuwx@itg.com.cn ,,
XILOLITE; BRAZIL,,Marco Aurélio Lobo da Luz,marco.luz@xilolite.com.br,,
HTR Henan Hongtai Kiln Refractory Co. LTD,China,Rita Li & Ashwini Pandey,,Insulation Bricks,REFRACTORY PRODUCTS
"Yingkou Shunan New Material Technology Co., LTD",China,Rita Li & Ashwini Pandey,,MAG CARBON BRICKS,REFRACTORY PRODUCTS
LIAONING ZHONGMEI GROUP,China,Rita Li & Ashwini Pandey,,Mag-Chrome and Dolomite bricks,REFRACTORY PRODUCTS
Jiangsu Chianaref Refractory Co. Ltd,China,"Hisense Hu , Murphy Zhang","hisense.hu@chianaref.com , murphy.zhang@chianaref.com",TUNDISH COVER,REFRACTORY PRODUCTS
"Liaoning Guomei Refractory Co., Ltd.",China,Rita Li & Ashwini Pandey,,Magnesia Bricks,REFRACTORY PRODUCTS
"Lu'an Greenergy Refractory and Insulation Material Co.,Ltd",China,Tom King,"sales_refractory@greenergyrefractories.com , info@greenergyrefractories.com",Insulation Bricks,REFRACTORY PRODUCTS
"Yingkou Jiamei Refractories Co.,Ltd.",China,Rita Li & Ashwini Pandey,,Mag Chrome bricks,REFRACTORY PRODUCTS
DB GROUP EXPORTS,INDIA,Mr Swapnil,exports@groupdb.co,FELDSPAR,CERAMIC
SHANDONG BP NEW MATERIAL TECHNOLOGY,CHINA,Mr. Soong,songjtao@sdhx.com,ALUMINA BALLS,CERAMIC
HENAN E-GRIND ABRASIVES CO.LTD,CHINA,Ms. Lance,lance@e-grindabrasives.com,GRINDING DISC,CERAMIC
LISBETH  MINERALS,INDONESIA,Mr. Marchelle,lisbeth.office@gmail.com,ZIRCON SAND,CERAMIC
MINERAL PREMIER KALIMANTAN,INDONESIA,Djoni,Djoni@minerkal.com,ZIRCON SAND,CERAMIC
QUINGDAO ZHONGYOUBANG NEW MATERIAL TECHNOLOGY,CHINA,Cindy,qd_zyb126.com,RUTILE SAND,CERAMIC
DORAL,AUSTRALIA,Gerry Daly,gerry.daly@doral.com.au,ZIRCON SAND,CERAMIC
SAKTHI ARIMA MINERALS,UAE,Mr. Sakthi,salesdesk@arimaminerals.com,ZIRCON SAND,CERAMIC
Sharad Group,India,Mr. Harsh Thakker,harsh@thesharadgroup.com,Kaolin,CERAMIC
VLG Micron,India,Mr. Venus Gajara,vvvg@lgmicrons.com,kaolin,CERAMIC
Anyang feng fan silicon industries co ltd,China,86- 18738288474,ayffgygs@163.com,Silicon Chromium,ORES AND ALLOYS
Lanzhou Sunrising Ferroalloys Co.Ltd ,China,"8618919127224        
86 18919106734 
86-18919106247 "," info@westfesi.com 
sales@westfesi.com 
sale@westfesi.com",Silicon Chromium,ORES AND ALLOYS
"Hongxi Metallurgy Co. Ltd   /   Henan Guorui Metallurgical Refractories Co., Ltd(Factory)",China,"86-18567898496  86-15086839676
86-18317777489","robbin@gr-metallurgy.com
anson@gr-metallurgy.com
grmetallurgy6@gmail.com",Silicon Chromium,ORES AND ALLOYS
"ChangXing Ferroalloy Resources Co.,Ltd",China,"86 18317337771
8615311176284","lang@cxferroalloy.com
danae@cxferroalloy.com",Silicon Chromium,ORES AND ALLOYS
"Hainan West Asia Import and Export Group Co., Ltd",China,"86-16689780979
86 166 8972 1585
86 18976301609","marina@wasiatrade.com
sales09@wasiatrade.com
merchant@wasiatrade.com
purchase@wasiatrade.com
info@wasiatrade.com",Silicon Chrome,ORES AND ALLOYS
"Anyang Jinyuan Metallurgical Materials Co., Ltd",China,86-15226180657,"newcncptgroup@gmail.com
ayjinyuan@sina.cn",Silicon Chrome,ORES AND ALLOYS
"Anyang Jinfengda Metallurgical Co., Ltd.",China,"86 18749310967
86- 19105384865","jingjlily@gmail.com emma@ayjfd.com
meng@ayjfd.com",Silicon Chrome,ORES AND ALLOYS
Feng Erda Group,China,"86 17863227516
86-18663201129","china_d@fengerda.com
china_a@fengerda.com",Silicon Chrome,ORES AND ALLOYS
Winfred International Metal Limited ,China,86-177 9239 8095 ,"edwin@winfredint.com
Edwin.lee@Aliyun.com 
sales@winfredint.com",Silicon Chrome,ORES AND ALLOYS
"Henan All Star Metallurgical Material Co.,Ltd",,,info@qxferroalloy.com,Silicon Chrome,ORES AND ALLOYS
Henan Star Metallurgy Material Co.Ltd.(SMG),,86 17637228962,star20@alloyssi.com,Silicon Chrome,ORES AND ALLOYS
Anyang Weiyuan Alloy Co,,86 18567802263,"aria@wyalloys.com
Karl@wyalloys.com
",Silicon Chrome,ORES AND ALLOYS
"Anyi Metal Products (Shandong) Co., Ltd",,,sophia@anyisteel.com,Silicon Chrome,ORES AND ALLOYS
"Lanchuan Metal Products (Shandong)., Co Ltd",,86 188 8834 6802,wendy@lanchuansteel.com,Silicon Chrome,ORES AND ALLOYS
Wanhetong Metal Products ,,86 18953929670,Julia@whtsteelgroup.com,Silicon Chrome,ORES AND ALLOYS
"Anyang Zhenxin Metallurgical Materials Co., Ltd.",,"86 18637215035
86 18637217025
86 15565711616 ","sale04@zxferroalloy.com
sale07@zxferroalloy.com
sale05@zxferroalloy.com",Silicon Chrome,ORES AND ALLOYS
"Ningxia Fangtuo Metal Materials Co.,LTD",China,86-13995123098    ,sales@fangtuometal.com,Silicon Chrome,ORES AND ALLOYS
"Anyang KongFang Metallurgical New Material Technology Co., Ltd",,86 135 26120097,info@kfferrosilicon.com,Silicon Chrome,ORES AND ALLOYS
New Sail Ferroalloy,China,86 166 3835 9670,"jennywu@ns-ferroalloy.com
louisxu@ns-ferroalloy.com",Silicon Chrome,ORES AND ALLOYS
HONOR ALLOYS LIMITED,Hong Kong,,diana@honoralloys.com,Silicon Chrome,ORES AND ALLOYS
"Anyang Huatuo Metallurgy Co., Ltd",China,86 18037296649,luna@sialloy.com,Silicon Chrome,ORES AND ALLOYS
Henan Xinxin Silicon Alloy Co.Ltd.,China,86-372-5375259 /        86-18624885692,judy@ferrosialloy.com    lisa@ferrosialloy.com,Silicon Chrome,ORES AND ALLOYS
"Anyang County jiacheng Metallurgy Refractory Co., Ltd",China,86-18839705885,han@ayjcmetallurgy.com,Silicon Chrome,ORES AND ALLOYS
"Xian Top Metal import and  Export Co., Ltd",China,86 13389218441 ,1179961028@qq.com,Silicon Chrome,ORES AND ALLOYS
CHENGGANG METAL,China,86 18595820336,iris@ferrosialloy.com,Silicon Chrome,ORES AND ALLOYS
"KANGXIN INTERNATIONAL TRADING CO.,LTD",China,,,Silicon Chrome,ORES AND ALLOYS
"Inner Mongolia Jinzhong Chemical Co., Ltd",China,86-17331026089,vivian@jinzhongchem.com,Silicon Chrome,ORES AND ALLOYS
Zhongpu Industrial Ltd,China,86 19137643043,zhongpu02@z-pu.com,Silicon Chrome,ORES AND ALLOYS
"Zhengxin Silicon Industry Co., Ltd",China,,anne@gxmetallurgy.com,Silicon Chrome,ORES AND ALLOYS
"Hong Kong Dadexing Co., Ltd.",China,86 13763106550, lisa@dadexinghk.com,Silicon Chrome,ORES AND ALLOYS
"Anyang Cheegoole Co., Ltd",China,86-17839180059,lisa@cheegoole.com,Silicon Chrome,ORES AND ALLOYS
Hira Ferro Alloys Ltd,Producer,8408880756,rajesh.alone@hfal.in sunil.poddar@hfal.in vinay.agrawal@hiragroup.com,SIMN,ORES AND ALLOYS
Shivam Iron and Steel Co. Ltd,Producer,"91-9851081881, 8443009949",gmukherjee2009@gmail.com shivamiron.exim@gmail.com,SIMN,ORES AND ALLOYS
Shri Bajrang Power & Ispat Ltd.,Producer,91-9826425018,manish.dhir@goelgroup.co.in,SIMN,ORES AND ALLOYS
Sharp Ferro Alloys Ltd,Producer,"9810285182
Simran-9818938767","gmmarketing@sharpferro.com
marketing@sharpferro.com md@sharpferro.com  chairman@sharpferro.com",simn,ORES AND ALLOYS
SUPER SMELTERS LTD – INDIA,Producer,9674773151,saurabh.mukerji@supershakti.in,SIMN,ORES AND ALLOYS
Lalwani Ferro Alloys Ltd.,Producer,8013338212,"marketing@lalwaniferroalloys.com
sandeep@lalwaniferroalloys.com","SIMN-60/14, 60/15, 65/15, 65/16/65/17 Phos-0.2max",ORES AND ALLOYS
Maithan Steel & Power Limited ,Producer,9647659399,ab@maithansteel.com,,ORES AND ALLOYS
Hira Ferro Alloys Ltd,Producer,8408880756,rajesh.alone@hfal.in sunil.poddar@hfal.in vinay.agrawal@hiragroup.com,SIMN,ORES AND ALLOYS
Shivam Iron and Steel Co. Ltd,Producer,"91-9851081881, 8443009949",gmukherjee2009@gmail.com shivamiron.exim@gmail.com,SIMN,ORES AND ALLOYS
Nava Bharat Ventures Ltd,Producer,+91 99484 44114,divakar.k@navalimited.com,SIMN,ORES AND ALLOYS
Shri Bajrang Power & Ispat Ltd.,Producer,91-9826425018,manish.dhir@goelgroup.co.in,SIMN,ORES AND ALLOYS
Simran Industries (A part of Deepak Ferro Alloys Pvt Ltd – Raipur) ,,91-9826120204                   91-9669628000,industries.simran@gmail.com,SIMN,ORES AND ALLOYS
Shakambhari  Group of Industries.,Producer,9330011021    7605076366,"bivas.ganguly@shakambharigroup.in
mridul.agarwal@shakambharigroup.in",SIMN,ORES AND ALLOYS
Sharp Ferro Alloys Ltd,Producer,"7803052643
9818938767
9810285182","gmmarketing@sharpferro.com
marketing@sharpferro.com md@sharpferro.com  chairman@sharpferro.com",simn,ORES AND ALLOYS
Shyam Group,Producer,8100127258,"exportsales@shyamgroup.com cral@shyamgroup.com mnal@shyamgroup.com krishanu.singha@shyammetalics.com
sales.accounts@shyamgroup.com",SIMN,ORES AND ALLOYS
Sundaram Alloys (Shyam Group),,,"sales@shyamferro.com
sales@sundaramalloys.com
joy@shyamferro.com
somnath@sundaramalloys.com",SIMN 65/16,ORES AND ALLOYS
Amar Ferro Alloys Ltd,,+91 9449313485,"rashmi@amarferroalloys.com
amar.ferroalloys21@gmail.com
prashant@amarferroalloys.com",SIMN,ORES AND ALLOYS
Berry Alloys Ltd,Producer,"97-1528333310
91-8359000060
65-98951280",mktg@berryalloys.com  mktg@srmcommercials.com,SIMN,ORES AND ALLOYS
Lalwani Ferro Alloys Ltd.,Producer,8013338212,"marketing@lalwaniferroalloys.com
sandeep@lalwaniferroalloys.com","SIMN-60/14, 60/15, 65/15, 65/16/65/17 Phos-0.2max",ORES AND ALLOYS
Sarda Metals & Alloys Limited ,Producer,"91-8898712664
91- 9594936516
91- 98208 76804","gaurav.j@smal.co.in
pramod.jaiswal@smal.co.in
mohit.pawnday@smal.co.in",SIMN,ORES AND ALLOYS
LK Group(Puja Ferro Alloys Pvt Ltd,Trader,9821099871  9821326548   ,vanit@lkgroupindia.com   ankit@lkgroupindia.com    rohin@lkgroupindia.com,SIMN,ORES AND ALLOYS
 SKP Group (NNP Ferro Alloys Pvt. Ltd),Producer,"9903967121
+91-6292280117

7908911066","amit.majumder@skpgroup.in
dipankar.skpmerchants@gmail.com

sgm.marketing@skpgroup.in- Domastic
deepankar.kumar@skpgroup.in- Domastic",FESIMN,ORES AND ALLOYS
Maithan Alloys Ltd,,9434080301,"office@maithanalloys.com 
marketing@maithanalloys.com
barun.jha@maithanalloys.com",FESIMN,ORES AND ALLOYS
Maithan Steel & Power Limited ,Producer,9647659399,ab@maithansteel.com,,ORES AND ALLOYS
SUPER SMELTERS LTD – INDIA,Producer,9674773151,saurabh.mukerji@supershakti.in,SIMN,ORES AND ALLOYS
SRG Minerals and Metals,Producer,91-9969272968,srgminmet@gmail.com,SIMN,ORES AND ALLOYS
Astha Ferro Alloys,Producer,,"gautam.afapl@gmail.com
yash@asthaferroalloys.com",SIMN,ORES AND ALLOYS
PLR Pojects Zambia Ltd,,91 9542608937,"naveen@plrprojects.com
niranjanplrz@plrprojects.com
jayakumar.peddireddy@plrprojects.com
ravitheja@plrprojects.com",SIMN,ORES AND ALLOYS
,,,antadze.ga@gmail.com,SIMN,ORES AND ALLOYS
Abul Khair Steel Melting Ltd,,88 01988801011,,SIMN,ORES AND ALLOYS
Bangladesh steel rolling mill,,88 0312854901,,"SIMN,HCFEMN",ORES AND ALLOYS
Anwar Group,,88 029564033,,SIMN,ORES AND ALLOYS
Asia Minerals,,,"subhendu.ghosh@asia-minerals.com
alexander.salnikov@asia-minerals.com",SIMN fines,ORES AND ALLOYS
Shakambhari  Group of Industries.,,9330011021 / 7605076366,bivas.ganguly@shakambharigroup.in,FESIMN,ORES AND ALLOYS
Bihar Foundary,,9631087691, gbudhia@gmail.com   exim.bfcl@gmail.com  rishi.bfcl@gmail.com rajeev.bfcl@gmail.com,FESIMN,ORES AND ALLOYS
DS Alloyed Pvt. Ltd. High,India,9810066707/ 9766000001,"kunal@dsalloys.com 
sunil@dsalloys.com",Producer,ORES AND ALLOYS
Hira Power & Steel Ltd,India,"9989645043, 8999215924",exim@hpslindia.com d.suresh@hpslindia.com export@hpslindia.com vikasagrawal@hpslindia.com,Producer,ORES AND ALLOYS
Bihar Foundary,India,"7803052643 
917566505669
 9631087691", gbudhia@gmail.com   exim.bfcl@gmail.com  rishi.bfcl@gmail.com,Producer,ORES AND ALLOYS
Shri Bajrang Power & Ispat Ltd.,India,91-9826425018,manish.dhir@goelgroup.co.in,Producer,ORES AND ALLOYS
SA Marathe & CO,India,91-9822006886,iam@samarathe.com,Trader,ORES AND ALLOYS
Shyam Group,India,8100127258,"exportsales@shyamgroup.com
exop@shyamgroup.com
cral@shyamgroup.com mnal@shyamgroup.com krishanu.singha@shyammetalics.com",Producer,ORES AND ALLOYS
Sundaram Alloys (Shyam Group),,"91-9051443777
91-7980081492","sales@shyamferro.com
sales@sundaramalloys.com
joy@shyamferro.com
somnath@sundaramalloys.com",,ORES AND ALLOYS
LK Group(Puja Ferro Alloys Pvt Ltd,India,9821099871  9821326548   ,vanit@lkgroupindia.com   ankit@lkgroupindia.com    rohin@lkgroupindia.com,Trader,ORES AND ALLOYS
Sharp Ferro Alloys Ltd,India,"7803052643
9818938767
9810285182","gmmarketing@sharpferro.com
marketing@sharpferro.com md@sharpferro.com  chairman@sharpferro.com",Producer,ORES AND ALLOYS
SUPER SMELTERS LTD – INDIA,India,9674773151,saurabh.mukerji@supershakti.in,Producer,ORES AND ALLOYS
Shivam Iron and Steel Co. Ltd,India,"98-31180634
91-9851081881, 8443009949",gmukherjee2009@gmail.com shivamiron.exim@gmail.com,"HCFEMN- 70,75",ORES AND ALLOYS
Hira Power & Steel Ltd,India,"9989645043,  9981921058","export@hpslindia.com
d.suresh@hpslindia.com vikasagrawal@hpslindia.com doc@hpslindia.com",HCFEMN ,ORES AND ALLOYS
Hira Ferro Alloys Ltd,India,8408880756,"rajesh.alone@hfal.in 
sunil.poddar@hfal.in vinay.agrawal@hiragroup.com","HCFEMN 65,70,75,76",ORES AND ALLOYS
Anjaney Ferro Alloys Ltd,,"09732000871 / 
91 7995666619",export@anjaneyferro.com  amit@anjaneyferro.com ,"HCFEMN 65,70,73,75
Not Produce LCFEMN)",ORES AND ALLOYS
 SKP Group (NNP Ferro Alloys Pvt. Ltd),India,"9903967121
+91-6292280117

7908911066","amit.majumder@skpgroup.in
dipankar.skpmerchants@gmail.com

sgm.marketing@skpgroup.in- Domastic
deepankar.kumar@skpgroup.in- Domastic",HCFEMN (Direct Turkey),ORES AND ALLOYS
Maithan Alloys Ltd,India,9434080301,"office@maithanalloys.com 
marketing@maithanalloys.com",HCFEMN (Direct Turkey & Taiwan),ORES AND ALLOYS
Maithan Steel & Power Limited ,India,9647659399,ab@maithansteel.com,Producing only SiMn Now 06/05/2024,ORES AND ALLOYS
Simran Industries (A part of Deepak Ferro Alloys Pvt Ltd – Raipur) ,India,91-9826120204        91-9669628000,industries.simran@gmail.com,HCFEMN,ORES AND ALLOYS
Shyam Group,India,8100127258,"exop@shyamgroup.com
exportsales@shyamgroup.com cral@shyamgroup.com mnal@shyamgroup.com krishanu.singha@shyammetalics.com
debajyoti.biswas@shyamgroup.com","HCFEMN-70,73,74,75,76%",ORES AND ALLOYS
Shakambhari  Group of Industries.,India,9330011021    7605076366,"bivas.ganguly@shakambharigroup.in
mridul.agarwal@shakambharigroup.in","HCFEMN65% not producing
Not Producing FeCr now",ORES AND ALLOYS
LK Group(Puja Ferro Alloys Pvt Ltd,India,9821099871  9821326548   ,vanit@lkgroupindia.com   ankit@lkgroupindia.com    rohin@lkgroupindia.com,HCFEMN,ORES AND ALLOYS
Sharp Ferro Alloys Ltd,India,"7803052643
9818938767
9810285182","gmmarketing@sharpferro.com
marketing@sharpferro.com md@sharpferro.com  chairman@sharpferro.com",HCFEMN 65/70/73/75/76/78,ORES AND ALLOYS
Lalwani Ferro Alloys Ltd.,india,8013338212,"marketing@lalwaniferroalloys.com
sandeep@lalwaniferroalloys.com","HCFEMN-70,72,75,76min, Phos-0.25max, C-6-8%",ORES AND ALLOYS
Sarda Metals & Alloys Limited ,India,"91-8898712664
91- 9594936516
91- 98208 76804","gaurav.j@smal.co.in
pramod.jaiswal@smal.co.in
mohit.pawnday@smal.co.in","Mn-75,",ORES AND ALLOYS
Berry Alloys Ltd,India,"91-8359000060
65-98951280",mktg@berryalloys.com  mktg@srmcommercials.com,HCFEMN,ORES AND ALLOYS
