name,country,contact_person,email,products,division
FUPENG INTERNATIONAL GROUP LTD.,,Ms. Hellen Du,hellen@fupengmgo.com,,
REALHI TRADE CO. LTD,,Ms. Jane,manager@dlrenheng.com,,
LIANYUNGANG EAST SUN INTERNATIONAL TRADE CO.;LTD,,Mr. Zhang Rongbin,chinagraphite@vip.163.com,,
GANSU JINSHI CHEMICAL INDUSTRIAL CO.LTD,,Mr. Robert,chromechem@hotmail.com,,
CORONA ,,Esteban Barrientos Villegas - Direct Materials Corporate Negotiator,ebarrientosv@corona.com.co,,
MAGNESITA MINERACAO S.A.; BRAZIL,,Maria Paula Guimar�es Rezende;  Eber Almeida ;  Alvaro lopes,Maria.Rezende@rhimagnesita.com; Eber.Almeida@rhimagnesita.com; Alvaro.Lopes@RHIMagnesita.com,,
ERYAS OLIVINE MADENCILIK VE DIS TIC.LTD. STI.,,Mr.Murat YAKUT-Foreign Trade Manager,muratyakut@eryas.com; berkanipek@eryas.com,,
IBAR NORDESTE LTDA.; BRAZIL,,Erica Almeida ;  Emilio Lobato, ibarcomex@ibar.com.br ; erica@ibarnordeste.com.br; emilio.lobato@ibarnordeste.com.br,,
PAN GLOBAL TRADING LLC ,,MR ANIL KAPUR ,ak@panglobaltrading.com,,
AL JOOD NATURAL RESOURCES LLC,,Mohammed Rizwan,rizwan@aljood.om,,
PACIFIC EXIM PVT LTD KARACHI ,,Arsalan Wasi ,arsalan.wasi@pacificexim.com,,
MIR MINES AND MINERALS,,Mutee ur Rehman;,mutee@mirminerals.com,,
SYNDICATE MINERAL EXPORT COMPANY,,Aziz Kanani, aziz.kanani@hashwanigroup.com,,
QTINITY,,Humair Qureshi,humairqureshi@qtinity.com,,
SURVIEW PVT. LTD. (RAHIMTOOLA GROUP OF COMPANIES),,Abbas Rahitoola ,abbas@rahimtoolagroup.com,,
KAMRAN COMMERCIALS PVT LTD ,,Anis Gul ,kamran_commercials@hotmail.com,,
KIBAR GROUP ,,Mehmet Karakas ,mehmet.karakas@kibardisticaret.com,,
METAL MARKET ,,Mehmet Delen ,mehmet@metalmarket.com.tr,,
CUBYIRA COMMODITIES PARTNERS,,Ishan Bhaskar ,ishanbhaskar@gmail.com,,
ALCHEMY HEAVY METAL,,,,,
BBC MINES,INDIA,Mr. Chrnaram,bbcminessindawar@gmail.com,"BALL CLAY, KAOLIN",CERAMIC
ANIL MINERALS,,,,,
QUARRO;MINECRAFT MINERALS,INDIA,Mr. Aakash Kavadia,aakash@quarro.in,"KAOLIN, FELDSPAR",CERAMIC
FLOOREX TILES,,,,,
MASTER MINERALS,,,,,
ROHIT FERRO TECH ,,Mr Ankit  Patni,ankit.patni@rohitferrotech.com,,
JAI BALAJI INDUSTRIES LTD,,Mr Tahmeed ,tahmeed@jaibalajigroup.com,,
GSA SH.P.K,,ELTON BEQI ,elton.beqi@gsa.al,,
MAITHAN ALLOYS LTD,,Mr Bhaskar Behera ,office@maithanalloys.com,,
HIRA POWER AND STEELS LTD ; INDIA ,,Mr Vikas AGARWAL,export@hpslindia.com,,
ABHIJEET FERRO TECH LIMITED ,,Anil Nair ,anil.nair@abhijeet.in,,
SHIVOM IRON AND STEEL ,,Mr Ganesh Mukherjee,�shivamiron.exim@gmail.com,,
D S ALLOYD ,,MR GOPAL,gopal@dsalloys.com,,
GANSU RICH MINMETALS CO.;LTD,,Ms wang ,gansurich@hotmail.com,,
RIMA INDUSTRIAL S;A,,Jonas Ribeiro Faria,jrf@rima.com.br,,
LANZHOU SUNRISING FERROALLOY CO.;LTD ,,Mr Deer Lu ; Ms Lilian,sales@westfesi.com,,
JINLI GROUP ,,Mr Bajoe,info@chinacoredwire.com,,
XIAMEN ITG GROUP CORP.; LTD.,,Ms Cindy ,liuwx@itg.com.cn ,,
XIAMEN FD IMP & EXP CO.; LTD,,Ms Summer ,export1@xiamenfd.com,,
ICI SUISEE ,,Eugene Simonovskiy,e.simonovskiy@ici-suisse.com,,
HTR Henan Hongtai Kiln Refractory Co. LTD,China,Rita Li & Ashwini Pandey,,Insulation Bricks,REFRACTORY PRODUCTS
"Yingkou Shunan New Material Technology Co., LTD",China,Rita Li & Ashwini Pandey,,MAG CARBON BRICKS,REFRACTORY PRODUCTS
LIAONING ZHONGMEI GROUP,China,Rita Li & Ashwini Pandey,,Mag-Chrome and Dolomite bricks,REFRACTORY PRODUCTS
Jiangsu Chianaref Refractory Co. Ltd,China,"Hisense Hu , Murphy Zhang","hisense.hu@chianaref.com , murphy.zhang@chianaref.com",TUNDISH COVER,REFRACTORY PRODUCTS
"Liaoning Guomei Refractory Co., Ltd.",China,Rita Li & Ashwini Pandey,,Magnesia Bricks,REFRACTORY PRODUCTS
"Lu'an Greenergy Refractory and Insulation Material Co.,Ltd",China,Tom King,"sales_refractory@greenergyrefractories.com , info@greenergyrefractories.com",Insulation Bricks,REFRACTORY PRODUCTS
"Yingkou Jiamei Refractories Co.,Ltd.",China,Rita Li & Ashwini Pandey,,Mag Chrome bricks,REFRACTORY PRODUCTS
DB GROUP EXPORTS,INDIA,Mr Swapnil,exports@groupdb.co,FELDSPAR,CERAMIC
SHANDONG BP NEW MATERIAL TECHNOLOGY,CHINA,Mr. Soong,songjtao@sdhx.com,ALUMINA BALLS,CERAMIC
HENAN E-GRIND ABRASIVES CO.LTD,CHINA,Ms. Lance,lance@e-grindabrasives.com,GRINDING DISC,CERAMIC
LISBETH  MINERALS,INDONESIA,Mr. Marchelle,lisbeth.office@gmail.com,ZIRCON SAND,CERAMIC
MINERAL PREMIER KALIMANTAN,INDONESIA,Djoni,Djoni@minerkal.com,ZIRCON SAND,CERAMIC
QUINGDAO ZHONGYOUBANG NEW MATERIAL TECHNOLOGY,CHINA,Cindy,qd_zyb126.com,RUTILE SAND,CERAMIC
DORAL,AUSTRALIA,Gerry Daly,gerry.daly@doral.com.au,ZIRCON SAND,CERAMIC
SAKTHI ARIMA MINERALS,UAE,Mr. Sakthi,salesdesk@arimaminerals.com,ZIRCON SAND,CERAMIC
Sharad Group,India,Mr. Harsh Thakker,harsh@thesharadgroup.com,Kaolin,CERAMIC
VLG Micron,India,Mr. Venus Gajara,vvvg@lgmicrons.com,kaolin,CERAMIC
