name,country,contact_person,email
KONYA SELCUKLU KROM MAGNEZIT TUGLA SANAYII A.S.,,Mr. Hasan Guney,konyakrom@konyakrom.com; gidenvrak@konyakrom.com
IBAR NORDESTE LTDA,,Erica Almeida ; Emilio Lobato,erica@ibarnordeste.com.br ; emilio.lobato@ibarnordeste.com.br
XILOLITE; BRAZIL,,Marco Aurélio Lobo da Luz,marco.luz@xilolite.com.br
BETTERLY INDUSTRIAL CO.; LTD.,,Mr. Shuguang QU; Ms. Erica,zzqufeng@hotmail.com
FUPENG INTERNATIONAL GROUP LTD.,,Ms. Hellen Du,hellen@fupengmgo.com
REALHI TRADE CO. LTD,,Ms. Jane,manager@dlrenheng.com
LIANYUNGANG EAST SUN INTERNATIONAL TRADE CO.;LTD,,Mr. Zhang Rongbin,chinagraphite@vip.163.com
GANSU JINSHI CHEMICAL INDUSTRIAL CO.LTD,,Mr. Robert,chromechem@hotmail.com
CORONA ,,Esteban Barrientos Villegas - Direct Materials Corporate Negotiator,ebarrientosv@corona.com.co
MAGNESITA MINERACAO S.A.; BRAZIL,,Maria Paula Guimarães Rezende;  Eber Almeida ;  Alvaro lopes,Maria.Rezende@rhimagnesita.com; Eber.Almeida@rhimagnesita.com; Alvaro.Lopes@RHIMagnesita.com
ERYAS OLIVINE MADENCILIK VE DIS TIC.LTD. STI.,,Mr.Murat YAKUT-Foreign Trade Manager,muratyakut@eryas.com; berkanipek@eryas.com
IBAR NORDESTE LTDA.; BRAZIL,,Erica Almeida ;  Emilio Lobato, ibarcomex@ibar.com.br ; erica@ibarnordeste.com.br; emilio.lobato@ibarnordeste.com.br
PAN GLOBAL TRADING LLC ,,MR ANIL KAPUR ,ak@panglobaltrading.com
AL JOOD NATURAL RESOURCES LLC,,Mohammed Rizwan,rizwan@aljood.om
PACIFIC EXIM PVT LTD KARACHI ,,Arsalan Wasi ,arsalan.wasi@pacificexim.com
MIR MINES AND MINERALS,,Mutee ur Rehman;,mutee@mirminerals.com
SYNDICATE MINERAL EXPORT COMPANY,,Aziz Kanani, aziz.kanani@hashwanigroup.com
QTINITY,,Humair Qureshi,humairqureshi@qtinity.com
SURVIEW PVT. LTD. (RAHIMTOOLA GROUP OF COMPANIES),,Abbas Rahitoola ,abbas@rahimtoolagroup.com
KAMRAN COMMERCIALS PVT LTD ,,Anis Gul ,kamran_commercials@hotmail.com
KIBAR GROUP ,,Mehmet Karakas ,mehmet.karakas@kibardisticaret.com
METAL MARKET ,,Mehmet Delen ,mehmet@metalmarket.com.tr
CUBYIRA COMMODITIES PARTNERS,,Ishan Bhaskar ,ishanbhaskar@gmail.com
ALCHEMY HEAVY METAL,,,
BBC MINES,,,
ANIL MINERALS,,,
QUARRO;MINECRAFT MINERALS,,,
FLOOREX TILES,,,
MASTER MINERALS,,,
ROHIT FERRO TECH ,,Mr Ankit  Patni,ankit.patni@rohitferrotech.com
JAI BALAJI INDUSTRIES LTD,,Mr Tahmeed ,tahmeed@jaibalajigroup.com
GSA SH.P.K,,ELTON BEQI ,elton.beqi@gsa.al
MAITHAN ALLOYS LTD,,Mr Bhaskar Behera ,office@maithanalloys.com
HIRA POWER AND STEELS LTD ; INDIA ,,Mr Vikas AGARWAL,export@hpslindia.com
ABHIJEET FERRO TECH LIMITED ,,Anil Nair ,anil.nair@abhijeet.in
SHIVOM IRON AND STEEL ,,Mr Ganesh Mukherjee, shivamiron.exim@gmail.com
D S ALLOYD ,,MR GOPAL,gopal@dsalloys.com
GANSU RICH MINMETALS CO.;LTD,,Ms wang ,gansurich@hotmail.com
RIMA INDUSTRIAL S;A,,Jonas Ribeiro Faria,jrf@rima.com.br
LANZHOU SUNRISING FERROALLOY CO.;LTD ,,Mr Deer Lu ; Ms Lilian,sales@westfesi.com
JINLI GROUP ,,Mr Bajoe,info@chinacoredwire.com
XIAMEN ITG GROUP CORP.; LTD.,,Ms Cindy ,liuwx@itg.com.cn 
XIAMEN FD IMP & EXP CO.; LTD,,Ms Summer ,export1@xiamenfd.com
ICI SUISEE ,,Eugene Simonovskiy,e.simonovskiy@ici-suisse.com
